biome * ffffff ffffff ffffff
biome 0 ffffff 8eb971 66a764
biome 1 ffffff 91bd59 71b65b
biome 2 ffffff bfb755 81b85b
biome 3 ffffff 8ab689 7fb888
biome 4 ffffff 79c05a 5da754
biome 5 ffffff 82b593 89bf94
biome 6 e0ffae 5c694e 565f4e
biome 7 ffffff 8eb971 66a764
biome 8 ffffff bfb755 81b85b
biome 9 ffffff 8eb971 66a764
biome 10 ffffff 80b497 87c094
biome 11 ffffff 80b497 87c094
biome 12 ffffff 80b497 87c094
biome 13 ffffff 80b497 87c094
biome 14 ffffff 55c93f 5ebe49
biome 15 ffffff 55c93f 5ebe49
biome 16 ffffff 91bd59 71b65b
biome 17 ffffff bfb755 81b85b
biome 18 ffffff 79c05a 5da754
biome 19 ffffff 82b593 89bf94
biome 20 ffffff 8ab689 7fb888
biome 21 ffffff 53ca37 62c449
biome 22 ffffff 53ca37 62c449
biome 23 ffffff 80b497 87c094
biome 29 ff107a 69cfdb 70e099
biome 30 ffffff bfb755 81b85b
biome 31 ffffff a1c36d a1c36d
biome 32 ffffff 47cd33 60c447
biome 33 ffffff baa960 c4cc55
biome 34 ffffff b6ff5e 8bff56
biome 35 ffffff 79c05a 5da754
biome 36 ffffff 82b593 89bf94
biome 37 4fff3f 62a03b 6bbc3c
biome 38 ffff77 ccc9ad d7dbb6
biome 39 ffffff b2b952 9eca60
biome 40 ffffff 83bd65 5fa25b
biome 41 ffffff bec44c b3c442
biome 42 ffffff 91b971 67a866
biome 43 ffffff 80b497 87c094
biome 44 ffffff a6ad66 a89b59
biome 45 ffffff c8e84a c8e84a
biome 46 ffffff c8e84a c8e84a
biome 47 1e1b26 3f4151 3f4151
biome 48 ffffff a4b76e 6dab63
biome 49 ffffff a9ba64 a9ba64
biome 50 ffffff 63b26d 63b26d
biome 57 ffffff 7fbc6d 5f9f5e
biome 58 ffffff 7fbc6d 5f9f5e
biome 59 ffffff 7fbc6d 5f9f5e
biome 60 ffffff 86b688 7db684
biome 61 ffffff 8abf57 6bb259
biome 62 ffffff 78ed85 78ed85
biome 63 ffffff 78ed85 78ed85
biome 64 ffffff 78ed85 78ed85
biome 65 ffffff bfb755 81b85b
biome 66 ffffff bfb755 81b85b
biome 67 ffffff bfb755 81b85b
biome 68 ffffff bfb755 81b85b
biome 69 ffffff bfb755 81b85b
biome 160 ffffff 8eb971 66a764
biome 161 ffffff bfb755 81b85b
biome 162 cc1188 6d4189 7c6d87
biome 163 0077ee 55ff81 66ffc5
biome 164 2e535f 404840 405340
biome 170 ffffff 80b497 87c094
biome 171 ffffff aa8a4e b5a353
biome 172 ffffff b9b953 a4cb61
biome 173 ffffff a3e053 a3e053
biome 174 ffd932 8baf6b b0e088
biome 175 ffffff 92b77a 6ead71
biome 176 ffffff d8935f dae579
biome 177 ffffff 9fb771 c9ce65
biome 178 ffffff c9c17f b2c67f
biome 179 ffffff a9ba64 a9ba64
biome 180 ffffff c0d85d 71b65b
biome 181 ffffff a3ffaa a3ffaa
biome 182 ffffff 91b971 67a866
biome 183 ffffff 80b497 87c094
biome 184 0e6a35 94b77a 6fae72
biome 185 ffffff bca165 bca165
biome 186 ffffff aa8a4e b5a353
biome 187 a2ad51 66704c 66704c
biome 188 ff0000 b9b953 a4cb61
biome 189 ffffff c1b749 c4c93a
biome 190 ffffff b9b953 a4cb61
biome 191 ffffff bac481 ceb979
biome 192 ffffff 83bd65 5fa25b
biome 193 ffffff abd6bc abd6bc
biome 194 00ff2e f0f970 a9fb6a
biome 195 ffffff 74d374 66e266
biome 196 ffffff 80b497 87c094
biome 197 ffffff 7fdb7d 7fdb7d
biome 198 ffffff 517f51 619961
biome 199 ffffff cec577 aec681
biome 200 ffffff 8eb971 66a764
biome 201 ffffff 86bb6f 62a461
biome 202 ffffff 80b497 87c094
biome 203 ffffff 7ca568 8acc6a
biome 204 ffffff a2ba5d 7cb85e
biome 205 ffffff 6dc257 59a751
biome 206 ffffff 6ac44e 5eb04e
biome 210 ffffff 86b688 7db684
biome 211 ffffff 7fbc6d 5f9f5e
biome 212 ffffff 63b26d 63b26d
